segment,n_loans,interest_actually_collected,unrecovered_principal_loss,realized_margin,margin_pessimistic_20pct_more_defaults,margin_optimistic_20pct_fewer_defaults
High Risk / High Value,205610,1103073407.0,1330137378.0,-227063971.0,-493091446.0,38963505.0
High Risk / Low Value,123264,186692021.0,188632066.0,-1940045.0,-39666459.0,35786368.0
Low Risk / High Value,212897,550986070.0,342717123.0,208268947.0,139725523.0,276812372.0
Low Risk / Low Value,393859,373626543.0,210362493.0,163264050.0,121191551.0,205336548.0
Medium Risk / High Value,169231,653930571.0,643630883.0,10299688.0,-118426488.0,139025865.0
Medium Risk / Low Value,201218,249700862.0,214333795.0,35367067.0,-7499692.0,78233826.0
